File,Average Accuracy (Refactored),Average Accuracy (Optimized),Accuracy Change Percentage,Average Runtime Improvement (Refactored %),Average Runtime Improvement (Optimized %),Average Runtime Comparison (Refactored vs. Optimized %),Average ESLint Change Percentage,Average Closure Change Percentage
mixtral_results_temp_0/PROMPT_REFACTOR_V1_mixtral-8x7b-32768.csv,0.6474,0.8871,-27.0225,41.5985,14.9248,23.2097,-6.0958,15.0334
mixtral_results_temp_0/PROMPT_REFACTOR_V4_mixtral-8x7b-32768.csv,0.7337,0.8871,-17.2957,16.8618,13.1191,3.3086,-15.6892,-3.1727
openai_results_temp_0/gpt-3.5-turbo/PROMPT_REFACTOR_V1_gpt-3.5-turbo.csv,0.8902,0.8871,0.3483,15.0336,16.1675,-0.9761,-11.2403,-23.968
openai_results_temp_0/gpt-3.5-turbo/PROMPT_REFACTOR_V4_gpt-3.5-turbo.csv,0.8769,0.8871,-1.1474,16.1706,13.4625,2.3868,-23.4471,-29.8736
llama3_90B_results_temp_0/PROMPT_REFACTOR_V4_llama3-groq-70b-8192-tool-use-preview.csv,0.8666,0.9256,-6.3684,32.5932,18.212,12.1655,-50.2327,-45.3231
llama3_90B_results_temp_0/PROMPT_REFACTOR_V1_llama3-groq-70b-8192-tool-use-preview.csv,0.8101,0.9256,-12.4768,19.1242,16.773,2.0134,-17.2488,-27.9569
openai_results_temp_0/gpt-4-turbo/PROMPT_REFACTOR_V4_gpt-4-turbo.csv,0.8462,0.8871,-4.6078,23.0853,16.5801,5.58,-38.4871,-18.2755
openai_results_temp_0/gpt-4-turbo/PROMPT_REFACTOR_V1_gpt-4-turbo.csv,0.8795,0.8871,-0.8595,24.3259,15.4125,7.7231,-15.8102,8.3531
gemini_results_temp_0/gemini-1.5-pro/PROMPT_REFACTOR_V4_gemini-1.5-pro.csv,0.913,0.9071,0.6556,22.8048,18.0293,4.046,-25.2924,-10.3952
gemini_results_temp_0/gemini-1.5-pro/PROMPT_REFACTOR_V1_gemini-1.5-pro.csv,0.9062,0.9071,-0.0966,25.5993,14.7691,9.4365,-7.3866,7.9114
gemini_results_temp_0/gemini-1.5-flash/PROMPT_REFACTOR_V1_gemini-1.5-flash.csv,0.8611,0.8871,-2.9318,18.6823,12.5798,5.4206,-9.6684,10.1864
gemini_results_temp_0/gemini-1.5-flash/PROMPT_REFACTOR_V4_gemini-1.5-flash.csv,0.8598,0.8871,-3.073,13.2769,15.3038,-1.7579,-29.6051,-10.1899
