gt_code,level,refactor_code,rationale,eslint_count_original,eslint_count_refactored,closure_count_original,closure_count_refactored,test_cases,closure_optimized_code,runtimeOriginal,runtimeOptimized,runtimeRefactored,numOptimizedCorrect,numRefactoredCorrect,total
"var createHelloWorld = function() { 
    return function() {
        return ""Hello World"";
    }
}",Easy,"/**
 * @return {Function}
 */
var createHelloWorld = function() {
    return function(...args) {
        return ""Hello World"";
    }
};

/**
 * const f = createHelloWorld();
 * f(); // ""Hello World""
 */","The `createHelloWorld` function returns a new function. This inner function uses the rest parameter syntax `...args` to accept any number of arguments (although it ignores them). It always returns the string ""Hello World"". This solution demonstrates the concept of closures in JavaScript, where the inner function retains access to its surrounding scope even after the outer function has finished executing.",4,6,5,4,"{""functionOrClassName"": ""createHelloWorld"", ""tests"": [""createHelloWorld()()"", ""(() => {const a = createHelloWorld(); return a();})()"", ""(() => {const a = createHelloWorld; return a()();})()"", ""(() => {let f = createHelloWorld(); return f();})()"", ""(() => {let a = createHelloWorld; let b = a(); return b();})()"", ""(() => {const a = createHelloWorld(); const b = a; return b();})()"", ""(() => {const f = createHelloWorld(); return f();})()"", ""(() => {let f = createHelloWorld; return f()();})()"", ""(() => {const a = createHelloWorld(); const b = a(); return b();})()"", ""(() => {let a = createHelloWorld(); let b = a; return b()();})()"", ""(() => {let f = createHelloWorld(); let g = f(); return g();})()""]}","let createHelloWorld=function(){return function(){return""Hello World""}};
",0.2619579999999928,0.1595000000000084,0.15587499999999466,11,11,11
"var createCounter = function(init) {
  let presentCount = init;

  function increment() {
    return ++presentCount;
  }

  function decrement() {
      return --presentCount;
  }

  function reset() {
      return (presentCount = init);
  }

  return { increment, decrement, reset };
};",Easy,"/**
 * @param {integer} init
 * @return { increment: Function, decrement: Function, reset: Function }
 */
var createCounter = function(init) {
    let currentCount = init;
    
    const increment = () => {
        currentCount += 1;
        return currentCount;
    };
    
    const decrement = () => {
        currentCount -= 1;
        return currentCount;
    };
    
    const reset = () => {
        currentCount = init;
        return currentCount;
    };

    return { increment, decrement, reset };
};","The solution uses a closure to store the current count.  `increment`, `decrement`, and `reset` functions enclosed within `createCounter` have access to the `currentCount` variable. Each function modifies `currentCount` accordingly and returns the updated value.  This approach ensures that the count is managed in a controlled manner within the closure's scope.",9,8,3,7,"{""functionOrClassName"": ""createCounter"", ""tests"": [""createCounter(5).increment()"", ""createCounter(5).decrement()"", ""createCounter(5).reset()"", ""createCounter(0).increment()"", ""createCounter(0).decrement()"", ""createCounter(0).reset()"", ""createCounter(-5).increment()"", ""createCounter(-5).decrement()"", ""createCounter(-5).reset()"", ""createCounter(100).increment()"", ""createCounter(100).decrement()"", ""createCounter(100).reset()"", ""(() => {const counter = createCounter(5); counter.increment(); counter.decrement(); return counter.reset();})()"", ""(() => {const counter = createCounter(0); counter.increment(); counter.increment(); return counter.reset();})()"", ""(() => {const counter = createCounter(-5); counter.decrement(); counter.decrement(); return counter.reset();})()"", ""(() => {const counter = createCounter(10); for (let i = 0; i < 5; i++) counter.increment(); return counter.reset();})()"", ""(() => {const counter = createCounter(20); for (let i = 0; i < 5; i++) counter.decrement(); return counter.reset();})()""]}","let createCounter=function(b){let a=b;return{h:function(){return++a},g:function(){return--a},reset:function(){return a=b}}};
",0.257165999999998,0.4697500000000048,0.4130839999999978,4,17,17
"var map = function(arr, fn) {
    const transformedArr = [];
    arr.forEach((element, index) => {
      transformedArr[index] = fn(element, index);
    });
    return transformedArr;
  };",Easy,"/**
 * @param {number[]} arr
 * @param {Function} fn
 * @return {number[]}
 */
var map = function(arr, fn) {
    const newArray = [];
    for (let i = 0; i < arr.length; i++) {
        newArray.push(fn(arr[i], i));
    }
    return newArray;
};","This code iterates through the input array `arr` using a `for` loop. In each iteration, it applies the provided function `fn` to the current element `arr[i]` and its index `i`. The result of `fn(arr[i], i)` is then pushed into the `newArray`. Finally, the function returns the `newArray` containing the transformed elements.",3,5,3,8,"{""functionOrClassName"": ""map"", ""tests"": [""map([1, 2, 3], (x) => x * 2)"", ""map([1, 2, 3], (x, i) => x + i)"", ""map([], (x) => x * 2)"", ""map([1, 2, 3], (x) => x.toString())"", ""map([1, 2, 3], (x) => x % 2 === 0 ? 'even' : 'odd')"", ""map([1, 2, 3, 4, 5], (x) => x * x)"", ""map([1.1, 2.2, 3.3], (x) => Math.floor(x))"", ""map(['a', 'b', 'c'], (x) => x.toUpperCase())"", ""map([true, false, true], (x) => !x)"", ""map([null, undefined, null], (x) => x === null ? 'null' : 'undefined')"", ""map([{a: 1}, {a: 2}], (x) => x.a)"", ""(() => {const arr = [1, 2, 3]; return map(arr, (x) => arr[x - 1] * 2);})()"", ""(() => {const fn = (x) => x * 2; return map([1, 2, 3], fn);})()""]}","let map=function(c,d){const a=[];c.forEach((e,b)=>{a[b]=d(e,b)});return a};
",0.33429100000000744,0.2497499999999917,0.47537499999999966,13,13,13
"var filter = function(arr, fn) {
  const result = [];
  for (let i = 0; i < arr.length; i++) {
    if (fn(arr[i], i)) {
      result.push(arr[i]);
    }
  }
  return result;
};",Easy,"/**
 * @param {number[]} arr
 * @param {Function} fn
 * @return {number[]}
 */
var filter = function(arr, fn) {
    const filteredArr = [];
    for (let i = 0; i < arr.length; i++) {
        if (fn(arr[i], i)) {
            filteredArr.push(arr[i]);
        }
    }
    return filteredArr;
};","This code iterates through the input array `arr` using a `for` loop. In each iteration, it calls the provided filtering function `fn` with the current element `arr[i]` and its index `i`. If `fn` returns a truthy value, the element is added to the `filteredArr`. Finally, the function returns the `filteredArr` containing only the elements that passed the filter.",5,5,3,8,"{""functionOrClassName"": ""filter"", ""tests"": [""filter([1, 2, 3], (x) => x > 1)"", ""filter([1, 2, 3], (x) => x > 0)"", ""filter([1, 2, 3], (x, i) => i > 0)"", ""filter([1, 2, 3], (x, i) => x > i)"", ""filter([1, 2, 3, 4, 5], (x) => x % 2 === 0)"", ""filter([1, 2, 3, 4, 5], (x) => x % 2 !== 0)"", ""filter([1, 2, 3, 4, 5], (x, i) => i % 2 === 0)"", ""filter([1, 2, 3, 4, 5], (x, i) => x % 2 === 0 && i % 2 === 0)"", ""filter([], (x) => x > 0)"", ""filter([null, undefined, 0, 1, 2], (x) => x)"", ""filter([1, 2, 3], (x) => {let remainder = x%3; return remainder === 0;})"", ""filter([1, 2, 3, 4, 5, 6], (x) => {let remainder = x%3; return remainder === 0;})""]}","let filter=function(b,d){const c=[];for(let a=0;a<b.length;a++)d(b[a],a)&&c.push(b[a]);return c};
",0.25441700000000367,0.21112499999999557,0.34808400000000006,12,12,12
"/**
 * @param {number[]} nums
 * @param {Function} fn
 * @param {number} init
 * @return {number}
 */
var reduce = function(nums, fn, init) {
  let val = init;
  for (let i = 0; i < nums.length; i++) {
    val = fn(val, nums[i]);
  }
  return val;
};",Easy,"/**
 * @param {number[]} nums
 * @param {Function} fn
 * @param {number} init
 * @return {number}
 */
var reduce = function(nums, fn, init) {
    let val = init;
    if (nums.length === 0) {
        return init;
    }
    for (let i = 0; i < nums.length; i++) {
        val = fn(val, nums[i]);
    }
    return val;
};","This code iterates through the nums array, applying the fn function to each element with the accumulated value val. If the array is empty, it returns the initial value init as per the prompt's instructions.  It uses a for loop to process each element and update val accordingly, ensuring correct execution of the reduce operation without using the built-in reduce method.",5,6,6,6,"{""functionOrClassName"": ""reduce"", ""tests"": [""reduce([1,2,3,4], (a,b) => a + b, 0)"", ""reduce([1,2,3,4], (a,b) => a * b, 1)"", ""reduce([1,2,3,4], (a,b) => a - b, 0)"", ""reduce([], (a,b) => a + b, 0)"", ""reduce([5], (a,b) => 2 * a + b, 2)"", ""reduce([1,2,3,4], (a,b) => Math.max(a,b), -Infinity)"", ""reduce([1,2,3,4], (a,b) => Math.min(a,b), Infinity)"", ""reduce([1,2,3,4,5,6,7,8,9,10], (a,b) => a + b, 100)"", ""reduce([1,2,3,4], (a,b) => a.toString() + b.toString(), \""\"")"", ""reduce([1,2,3,4], (a,b) => a + b, 5)"", ""reduce([1,2,3,4], (a,b) => {if (a > b) {return a;} else {return b;}}, 0)""]}","let reduce=function(c,d,a){for(let b=0;b<c.length;b++)a=d(a,c[b]);return a};
",0.241540999999998,0.2810830000000095,0.19404099999999858,11,11,11
"/**
 * @param {Function} fn
 * @param {number} t
 * @return {Function}
 */
var timeLimit = function(fn, t) {
  return async function(...args) {
    return new Promise((delayresolve, reject) => {
      const timeoutId = setTimeout(() => {
        clearTimeout(timeoutId);
        reject(""Time Limit Exceeded"");
      }, t);

      fn(...args)
        .then((result) => {
          clearTimeout(timeoutId);
          delayresolve(result);
        })
        .catch((error) => {
          clearTimeout(timeoutId);
          reject(error);
        });
    });
  };
};

/**
 * const limited = timeLimit((t) => new Promise(res => setTimeout(res, t)), 100);
 * limited(150).catch(console.log) // ""Time Limit Exceeded"" at t=100ms
 */",Medium,"/**
 * @param {Function} fn
 * @param {number} t
 * @return {Function} 
 */
var timeLimit = function(fn, t) {
    return async function(...args) {
        return new Promise((resolve, reject) => {
            const timeoutId = setTimeout(() => {
                reject(""Time Limit Exceeded"");
            }, t);

            try {
                const result = await fn(...args);
                clearTimeout(timeoutId);
                resolve(result);
            } catch (error) {
                clearTimeout(timeoutId);
                reject(error);
            }
        });
    };
};","The solution uses a Promise to race against a timeout. A setTimeout is used to create a timer that rejects the promise after t milliseconds. The function fn is awaited within a try-catch block. If fn resolves before the timeout, the timeout is cleared, and the result is resolved. If the timeout occurs first, the promise is rejected with ""Time Limit Exceeded"". Any errors during the execution of fn are caught and the promise is rejected with the error. Using a try-catch block ensures proper error handling and prevents unhandled promise rejections.",12,1,4,2,"{""functionOrClassName"": ""timeLimit"", ""tests"": [""(() => {const limited = timeLimit((t) => new Promise(res => setTimeout(res, t)), 100); return limited(50);})()"", ""(() => {const limited = timeLimit((t) => new Promise(res => setTimeout(res, t)), 100); return limited(150).catch(err => err);})()"", ""(() => {const limited = timeLimit((t) => new Promise(res => setTimeout(res, t)), 100); return limited(100).catch(err => err);})()"", ""(() => {const limited = timeLimit((t) => new Promise(res => setTimeout(res, 0)), 100); return limited(50);})()"", ""(() => {const limited = timeLimit((t) => new Promise((res, rej) => setTimeout(() => rej('Error'), t)), 100); return limited(50).catch(err => err);})()"", ""(() => {const limited = timeLimit((t) => new Promise((res, rej) => setTimeout(() => rej('Error'), t)), 100); return limited(150).catch(err => err);})()"", ""(() => {const limited = timeLimit((t) => {throw 'Error'}, 100); return limited(50).catch(err => err);})()"", ""(() => {const limited = timeLimit((t) => new Promise(res => setTimeout(res, t)), 0); return limited(50).catch(err => err);})()"", ""(() => {const limited = timeLimit((t) => new Promise(res => setTimeout(res, t)), 1000); return limited(50);})()"", ""(() => {const limited = timeLimit(async (t) => {await new Promise(res => setTimeout(res, t)); return t;}, 100); return limited(50);})()"", ""(() => {const limited = timeLimit(async (t) => {await new Promise(res => setTimeout(res, t)); return t;}, 100); return limited(150).catch(err => err);})()"", ""(() => {const limited = timeLimit(async (t) => {await new Promise((res, rej) => setTimeout(() => rej('Error'), t)); return t;}, 100); return limited(50).catch(err => err);})()"", ""(() => {const limited = timeLimit(async (t) => {await new Promise((res, rej) => setTimeout(() => rej('Error'), t)); return t;}, 100); return limited(150).catch(err => err);})()"", ""(() => {const limited = timeLimit((t) => new Promise(res => setTimeout(() => res(t), t)), 100); return limited(50);})()""]}","let timeLimit=function(d,e){return async function(...f){return new Promise((g,c)=>{const a=setTimeout(()=>{clearTimeout(a);c(""Time Limit Exceeded"")},e);d(...f).then(b=>{clearTimeout(a);g(b)}).catch(b=>{clearTimeout(a);c(b)})})}};
",-1,-1,-1,-1,-1,-1
"const TimeLimitedCache = function() {
    this.cache = new Map();  // Using Map so we don't need a size variable
};

TimeLimitedCache.prototype.set = function(key, value, duration) {
    let found = this.cache.has(key);
    if (found) clearTimeout(this.cache.get(key).ref);  // Cancel previous timeout
    this.cache.set(key, {
        value,  // Equivalent to `value: value`
        ref: setTimeout(() => this.cache.delete(key), duration)
    });
    return found;
};

TimeLimitedCache.prototype.get = function(key) {
    return this.cache.has(key) ? this.cache.get(key).value : -1;
};

TimeLimitedCache.prototype.count = function() {
    return this.cache.size;
};",Medium,"var TimeLimitedCache = function() {
    this.cache = new Map();
    this.timeouts = new Map();
};

/** 
 * @param {number} key
 * @param {number} value
 * @param {number} duration time until expiration in ms
 * @return {boolean} if un-expired key already existed
 */
TimeLimitedCache.prototype.set = function(key, value, duration) {
    const existingTimeout = this.timeouts.get(key);
    if (existingTimeout) {
        clearTimeout(existingTimeout);
    }

    const timeout = setTimeout(() => {
        this.cache.delete(key);
        this.timeouts.delete(key);
    }, duration);

    this.timeouts.set(key, timeout);
    const existed = this.cache.has(key);
    this.cache.set(key, value);
    return existed;
};

/** 
 * @param {number} key
 * @return {number} value associated with key
 */
TimeLimitedCache.prototype.get = function(key) {
    if (this.cache.has(key)) {
        return this.cache.get(key);
    }
    return -1;
};

/** 
 * @return {number} count of non-expired keys
 */
TimeLimitedCache.prototype.count = function() {
    return this.cache.size;
};","This code uses a Map to store the key-value pairs and another Map to store the timeouts associated with each key. The set method checks if a timeout already exists for the given key. If so, it clears the existing timeout. It then sets a new timeout that removes the key-value pair from the cache after the specified duration. The get method returns the value associated with the key if it exists and is not expired. Otherwise, it returns -1. The count method returns the number of non-expired keys in the cache. This approach ensures that expired keys are automatically removed and the count is always accurate.",14,10,6,5,"{""functionOrClassName"": ""TimeLimitedCache"", ""tests"": [""(() => {const cache = new TimeLimitedCache(); return cache.set(1, 1, 1000);})()"", ""(() => {const cache = new TimeLimitedCache(); cache.set(1, 1, 1000); return cache.get(1);})()"", ""(() => {const cache = new TimeLimitedCache(); cache.set(1, 1, 1000); return cache.count();})()"", ""(() => {const cache = new TimeLimitedCache(); cache.set(1, 1, 1000); cache.set(1, 2, 1000); return cache.get(1);})()"", ""(() => {const cache = new TimeLimitedCache(); cache.set(1, 1, 1000); setTimeout(() => { return cache.get(1); }, 2000);})()"", ""(() => {const cache = new TimeLimitedCache(); cache.set(1, 1, 1000); cache.set(2, 2, 2000); return cache.count();})()"", ""(() => {const cache = new TimeLimitedCache(); cache.set(1, 1, 1000); cache.set(2, 2, 2000); cache.set(1, 10, 1000); return cache.get(1);})()"", ""(() => {const cache = new TimeLimitedCache(); cache.set(1, 1, 1000); return cache.get(2);})()"", ""(() => {const cache = new TimeLimitedCache(); cache.set(1, 1, 0); return cache.get(1);})()"", ""(() => {const cache = new TimeLimitedCache(); cache.set(1, 1, 1000); cache.set(2, 2, 2000); cache.set(3, 3, 3000); return cache.count();})()"", ""(() => {const cache = new TimeLimitedCache(); return cache.get(1);})()"", ""(() => {const cache = new TimeLimitedCache(); cache.set(1, 1, 1000); cache.set(1, 1, 1000); return cache.count();})()"", ""(() => {const cache = new TimeLimitedCache(); cache.set(1, 1, 1000); setTimeout(() => { return cache.count(); }, 2000);})()"", ""(() => {const cache = new TimeLimitedCache(); cache.set(1, 1, 1000); cache.set(2, 2, 1000); setTimeout(() => { return cache.count(); }, 2000);})()""]}","function b(){this.cache=new Map}b.prototype.set=function(a,d,e){let c=this.cache.has(a);c&&clearTimeout(this.cache.get(a).g);this.cache.set(a,{value:d,g:setTimeout(()=>this.cache.delete(a),e)});return c};b.prototype.get=function(a){return this.cache.has(a)?this.cache.get(a).value:-1};b.prototype.count=function(){return this.cache.size};let TimeLimitedCache=b;
",1.6454999999999984,0.32108300000000156,0.6104160000000007,14,14,14
"var debounce = function(fn, t) {
    let id;
        return function (...args) {
                clearTimeout(id);
                id = setTimeout(() => fn(...args), t);
        }
};",Medium,"/**
 * @param {Function} fn
 * @param {number} t milliseconds
 * @return {Function} 
 */
var debounce = function(fn, t) {
    let timeoutId;
    return function(...args) {
        clearTimeout(timeoutId);
        timeoutId = setTimeout(() => {
            fn.apply(this, args);
        }, t);
    }
};","This code implements debouncing by using setTimeout() to schedule the function call after a specified delay (t milliseconds). Each subsequent call to the debounced function, within the delay period, clears the existing timeout (using clearTimeout()) and sets a new one, effectively delaying execution until the calls cease for at least t milliseconds. The ...args syntax allows the debounced function to accept and pass any number of arguments to the original function fn. The apply method ensures the original function's context (this) is preserved during execution.",8,9,4,5,"{""functionOrClassName"": ""debounce"", ""tests"": [""debounce(() => 1, 100)()"", ""debounce(() => {console.log(2); return 3;}, 200)()"", ""debounce((a, b) => a + b, 100)(1, 2)"", ""debounce(function(a, b) {return this.c + a + b;}, 200).bind({c: 5})(10, 20)"", ""(() => {let f = debounce((a, b) => a + b, 150); f(1, 2); return f(3, 4);})()"", ""(() => {let f = debounce((a, b) => a + b, 50); f(1, 2); return f(3, 4);})()"", ""(() => {let f = debounce((a) => a * 2, 50); return f(5);})()"", ""(() => {let f = debounce((a) => {let ret = 0; for (let i = 0; i < a; ++i) ret += i; return ret;}, 200); return f(5);})()"", ""(() => {let f = debounce((...args) => args.reduce((a, b) => a + b, 0), 100); return f(1, 2, 3, 4, 5);})()"", ""(() => {let f = debounce(async (a, b) => await Promise.resolve(a + b), 100); return f(1, 2);})()"", ""(() => {let f = debounce((a, b) => new Promise((resolve, reject) => {setTimeout(() => {resolve(a + b);}, 200);}), 100); return f(1, 2);})()"", ""(() => {let f = debounce((a, b) => a + b, 0); return f(1, 2);})()"", ""(() => {let f = debounce((a, b) => a + b, -1); return f(1, 2);})()"", ""(() => {let f = debounce((a, b) => a + b, -100); return f(1, 2);})()"", ""(() => {let f = debounce((a, b) => a + b, Infinity); return f(1, 2);})()"", ""(() => {let f = debounce((a, b) => a + b, NaN); return f(1, 2);})()""]}","let debounce=function(b,c){let a;return function(...d){clearTimeout(a);a=setTimeout(()=>b(...d),c)}};
",-1,-1,-1,-1,-1,-1
"var promiseAll = async function(functions) {
    return new Promise((resolve, reject) => {
        let results = [];
        functions.forEach(fn => {
            fn()
            .then(val => results.push(val))
            .catch(reason => reject(reason));
        });
        resolve(results);
    })};

var promiseAll = async function(functions) {
    return new Promise((resolve,reject)=>{
        if(functions.length === 0) {
            resolve([]);
            return;
        }
        const arr=new Array(functions.length);
        arr.fill(null);
        let count=0
        functions.forEach(async(fn,i)=>{
            try{
                arr[i]=await fn()
                count++
            
                if(count===functions.length){
                    resolve(arr);
                }
            }
            catch(e){
                reject(e);
            }
        
        });
    });
};",Medium,"/**
 * @param {Array<Function>} functions
 * @return {Promise<any>}
 */
var promiseAll = function(functions) {
    return new Promise((resolve, reject) => {
        const results = [];
        let completedCount = 0;
        const functionCount = functions.length;

        if (functionCount === 0) {
            resolve(results);
            return;
        }

        for (let i = 0; i < functionCount; i++) {
            functions[i]()
                .then(result => {
                    results[i] = result;
                    completedCount++;
                    if (completedCount === functionCount) {
                        resolve(results);
                    }
                })
                .catch(error => {
                    reject(error);
                });
        }
    });
};","This code implements a custom promiseAll function that mimics the behavior of Promise.all. It initializes an array results to store the resolved values and a counter completedCount. The function iterates through the input functions array. For each function, it calls the function and attaches a then handler and a catch handler to the returned promise. The then handler stores the resolved value in the results array at the corresponding index and increments completedCount. If completedCount equals the total number of functions, it resolves the main promise with the results array. The catch handler rejects the main promise with the reason of the first rejection. If the input array is empty, it resolves immediately with an empty array.",14,9,11,7,"{""functionOrClassName"": ""promiseAll"", ""tests"": [""promiseAll([])"", ""promiseAll([async () => 1])"", ""promiseAll([async () => 1, async () => 2, async () => 3])"", ""promiseAll([async () => Promise.resolve(1), async () => Promise.resolve(2)])"", ""promiseAll([async () => Promise.reject('Error')])"", ""promiseAll([async () => 1, async () => Promise.reject('Error'), async () => 3])"", ""promiseAll([async () => {throw new Error('Error')}])"", ""promiseAll([async () => 1, async () => {throw new Error('Error')}, async () => 3])"", ""promiseAll([async () => new Promise(resolve => setTimeout(() => resolve(1), 100)), async () => 2])"", ""promiseAll([async () => new Promise(resolve => setTimeout(() => resolve(1), 100)), async () => new Promise((resolve, reject) => setTimeout(() => reject('Error'), 50))])"", ""promiseAll([async () => Promise.resolve(1), async () => Promise.resolve(2), async () => Promise.resolve(3), async () => Promise.resolve(4), async () => Promise.resolve(5)])"", ""promiseAll([async () => 1, async () => 2, async () => 3, async () => 4, async () => 5, async () => Promise.reject('Error')])"", ""promiseAll([async () => 'a', async () => 'b', async () => 'c'])"", ""promiseAll([async () => { const obj = { key: 'value' }; return obj; }])""]}",,1.0806249999999977,0.35054199999999014,0.9613750000000039,0,0,14
"class EventEmitter {
  constructor() {
    this.events = new Map();
  }

  subscribe(event, cb) {
    if (!this.events.has(event)) {
      this.events.set(event, []);
    }

    const listeners = this.events.get(event);
    listeners.push(cb);

    return {
      unsubscribe: () => {
        const index = listeners.indexOf(cb);
        if (index !== -1) {
          listeners.splice(index, 1);
        }
      }
    };
  }

  emit(event, args = []) {
    if (!this.events.has(event)) {
      return [];
    }

    const listeners = this.events.get(event);
    const results = [];

    for (const listener of listeners) {
      results.push(listener(...args));
    }

    return results;
  }
}",Medium,"class EventEmitter {
    constructor() {
        this.events = {};
    }

    /**
     * @param {string} eventName
     * @param {Function} callback
     * @return {Object}
     */
    subscribe(eventName, callback) {
        if (!this.events[eventName]) {
            this.events[eventName] = [];
        }
        this.events[eventName].push(callback);

        return {
            unsubscribe: () => {
                if (this.events[eventName]) {
                    this.events[eventName] = this.events[eventName].filter(
                        (cb) => cb !== callback
                    );
                }
            },
        };
    }

    /**
     * @param {string} eventName
     * @param {Array} args
     * @return {Array}
     */
    emit(eventName, args = []) {
        const callbacks = this.events[eventName] || [];
        const results = [];
        for (const callback of callbacks) {
            results.push(callback(...args));
        }
        return results;
    }
}","The EventEmitter class uses a map called `this.events` to store event names as keys and an array of callback functions as values. The `subscribe` method adds a callback to the array associated with the given event name and returns an unsubscribe method. The `unsubscribe` method filters out the callback from the array. The `emit` method iterates through the array of callbacks for the given event name and calls each one with the provided arguments, collecting the results in an array.",4,2,3,7,"{""functionOrClassName"": ""EventEmitter"", ""tests"": [""new EventEmitter()"", ""(() => {const emitter = new EventEmitter(); return emitter.subscribe('event1', () => {});})()"", ""(() => {const emitter = new EventEmitter(); return emitter.emit('event1');})()"", ""(() => {const emitter = new EventEmitter(); emitter.subscribe('event1', () => {}); return emitter.emit('event1');})()"", ""(() => {const emitter = new EventEmitter(); emitter.subscribe('event1', (a, b) => a + b); return emitter.emit('event1', [1, 2]);})()"", ""(() => {const emitter = new EventEmitter(); const sub1 = emitter.subscribe('event1', () => 1); const sub2 = emitter.subscribe('event1', () => 2); return emitter.emit('event1');})()"", ""(() => {const emitter = new EventEmitter(); const sub = emitter.subscribe('event1', () => {}); sub.unsubscribe(); return emitter.emit('event1');})()"", ""(() => {const emitter = new EventEmitter(); const sub1 = emitter.subscribe('event1', () => 1); const sub2 = emitter.subscribe('event1', () => 2); sub1.unsubscribe(); return emitter.emit('event1');})()"", ""(() => {const emitter = new EventEmitter(); emitter.subscribe('event1', () => {}); return emitter.emit('event2');})()"", ""(() => {const emitter = new EventEmitter(); const sub = emitter.subscribe('event1', () => {}); sub.unsubscribe(); sub.unsubscribe(); return emitter.emit('event1');})()"", ""(() => {const emitter = new EventEmitter(); const sub = emitter.subscribe('event1', () => {throw new Error('test error');}); return emitter.emit('event1');})()"", ""(() => {const emitter = new EventEmitter(); emitter.subscribe('event1', (a) => a); emitter.subscribe('event2', (a, b) => a + b); return emitter.emit('event1', [1]);})()"", ""(() => {const emitter = new EventEmitter(); emitter.subscribe('event1', (a) => a); emitter.subscribe('event2', (a, b) => a + b); return emitter.emit('event2', [1, 2]);})()""]}","class a{}let EventEmitter=a;
",0.5036249999999995,0.36179200000000833,0.3558749999999975,1,11,13
