File,Average Accuracy (Refactored),Average Accuracy (Optimized),Accuracy Change Percentage,Average Runtime Improvement (Refactored %),Average Runtime Improvement (Optimized %),Average Runtime Comparison (Refactored vs. Optimized %),Average ESLint Change Percentage,Average Closure Change Percentage
result_gemini/results_gemini_0.2/gemini-1.5-flash_REFACTOR_V3_results.csv,0.86,0.89,-2.93,17.79,17.61,0.15,-8.79,7.12
result_gemini/results_gemini_0.2/gemini-1.5-pro_REFACTOR_V5_results.csv,0.90,0.91,-0.84,39.12,19.70,16.22,-17.65,7.83
result_gemini/results_gemini_0.2/gemini-1.5-pro_REFACTOR_V2_results.csv,0.89,0.89,0.01,25.74,20.07,4.72,-3.08,8.54
result_gemini/results_gemini_0.2/gemini-1.5-flash_REFACTOR_V4_results.csv,0.86,0.89,-2.62,15.90,16.44,-0.46,-31.88,-8.94
result_gemini/results_gemini_0.2/gemini-1.5-pro_REFACTOR_V4_results.csv,0.91,0.91,0.57,27.27,15.83,9.87,-25.36,-8.10
result_gemini/results_gemini_0.2/gemini-1.5-flash_REFACTOR_results.csv,0.86,0.89,-2.93,18.09,12.36,5.10,-9.26,10.19
result_gemini/results_gemini_0.2/gemini-1.5-pro_REFACTOR_V3_results.csv,0.86,0.89,-3.02,29.21,13.22,14.12,0.71,8.79
result_gemini/results_gemini_0.2/gemini-1.5-flash_REFACTOR_V2_results.csv,0.87,0.89,-1.52,4.20,12.87,-7.68,-14.12,9.52
result_gemini/results_gemini_0.2/gemini-1.5-pro_CODEGEN_results.csv,0.89,0.91,-1.50,41.36,19.29,18.50,-7.96,8.59
result_gemini/results_gemini_0.2/gemini-1.5-flash_REFACTOR_V5_results.csv,0.86,0.89,-2.93,22.84,15.64,6.22,-11.21,6.52
result_gemini/results_gemini_0.2/gemini-1.5-pro_REFACTOR_results.csv,0.86,0.89,-2.67,26.09,18.08,6.78,-3.23,7.08
result_gemini/results_gemini_0.2/gemini-1.5-flash_CODEGEN_results.csv,0.85,0.89,-3.86,37.06,20.47,13.77,1.29,10.74
