File,Average Accuracy (Refactored),Average Accuracy (Optimized),Accuracy Change Percentage,Average Runtime Improvement (Refactored %),Average Runtime Improvement (Optimized %),Average Runtime Comparison (Refactored vs. Optimized %),Average ESLint Change Percentage,Average Closure Change Percentage
result_gemini/results_gemini_0/gemini-1.5-flash_REFACTOR_V3_results.csv,0.86,0.89,-2.93,17.46,13.22,3.75,-8.56,7.12
result_gemini/results_gemini_0/gemini-1.5-pro_REFACTOR_V5_results.csv,0.90,0.91,-0.84,49.54,14.82,30.23,-16.21,8.23
result_gemini/results_gemini_0/gemini-1.5-pro_REFACTOR_V2_results.csv,0.89,0.89,0.83,27.57,13.40,12.49,-4.26,6.14
result_gemini/results_gemini_0/gemini-1.5-flash_REFACTOR_V4_results.csv,0.86,0.89,-3.07,13.28,15.30,-1.76,-29.61,-10.19
result_gemini/results_gemini_0/gemini-1.5-pro_REFACTOR_V4_results.csv,0.91,0.91,0.66,22.80,18.03,4.05,-25.29,-10.40
result_gemini/results_gemini_0/gemini-1.5-flash_REFACTOR_results.csv,0.86,0.89,-2.93,18.68,12.58,5.42,-9.67,10.19
result_gemini/results_gemini_0/gemini-1.5-pro_REFACTOR_V3_results.csv,0.88,0.89,-1.33,26.96,24.83,1.70,-3.26,9.91
result_gemini/results_gemini_0/gemini-1.5-flash_REFACTOR_V2_results.csv,0.87,0.89,-1.52,9.25,15.09,-5.07,-16.51,9.52
result_gemini/results_gemini_0/gemini-1.5-pro_CODEGEN_results.csv,0.89,0.91,-1.90,38.40,19.75,15.58,-8.98,8.19
result_gemini/results_gemini_0/gemini-1.5-flash_REFACTOR_V5_results.csv,0.86,0.89,-3.09,20.33,14.92,4.71,-11.35,6.52
result_gemini/results_gemini_0/gemini-1.5-pro_REFACTOR_results.csv,0.91,0.91,-0.10,25.60,14.77,9.44,-7.39,7.91
result_gemini/results_gemini_0/gemini-1.5-flash_CODEGEN_results.csv,0.86,0.89,-3.45,33.41,14.98,16.03,-0.75,10.57
