,gt_code,level,refactor_code,rationale
0,"var createHelloWorld = function() { 
    return function() {
        return ""Hello World"";
    }
}",Easy,function createHelloWorld() { return function() { return 'Hello World'; }; },The createHelloWorld function returns a new function that always returns 'Hello World'. This is achieved by defining a nested function within createHelloWorld and returning it. The nested function takes no arguments and simply returns 'Hello World'.
1,"var createCounter = function(init) {
  let presentCount = init;

  function increment() {
    return ++presentCount;
  }

  function decrement() {
      return --presentCount;
  }

  function reset() {
      return (presentCount = init);
  }

  return { increment, decrement, reset };
};",Easy,"var createCounter = function(init) {
  if (typeof init !== 'number') {
    throw new Error('init must be a number');
  }
  let count = init;
  return {
    increment: function() {
      count += 1;
      return count;
    },
    decrement: function() {
      count -= 1;
      return count;
    },
    reset: function() {
      count = init;
      return count;
    }
  };
};","The code defines a function createCounter that takes an integer as input and returns an object with three methods: increment, decrement, and reset. The increment method increases the count by 1, the decrement method decreases the count by 1, and the reset method sets the count back to the initial value. Error handling is implemented to ensure that the input is a number. The code follows modern JavaScript syntax and best practices for code organization and readability."
2,"var map = function(arr, fn) {
    const transformedArr = [];
    arr.forEach((element, index) => {
      transformedArr[index] = fn(element, index);
    });
    return transformedArr;
  };",Easy,"var map = function(arr, fn) {
  if (!Array.isArray(arr)) {
    throw new Error('First argument must be an array');
  }
  if (typeof fn !== 'function') {
    throw new Error('Second argument must be a function');
  }
  const result = [];
  for (let i = 0; i < arr.length; i++) {
    result[i] = fn(arr[i], i);
  }
  return result;
};","The code defines a function named 'map' that takes two arguments: an array 'arr' and a function 'fn'. It first checks if 'arr' is an array and 'fn' is a function, throwing an error if either condition is not met. Then, it initializes an empty array 'result' to store the transformed elements. It loops through each element in 'arr', applies the transformation function 'fn' to each element with its index, and stores the result in 'result'. Finally, it returns the transformed array 'result'."
3,"var filter = function(arr, fn) {
  const result = [];
  for (let i = 0; i < arr.length; i++) {
    if (fn(arr[i], i)) {
      result.push(arr[i]);
    }
  }
  return result;
};",Easy,"var filter = function(arr, fn) {
  if (!Array.isArray(arr)) {
    throw new Error('First argument must be an array');
  }
  if (typeof fn !== 'function') {
    throw new Error('Second argument must be a function');
  }
  const filteredArr = [];
  for (let i = 0; i < arr.length; i++) {
    if (fn(arr[i], i)) {
      filteredArr.push(arr[i]);
    }
  }
  return filteredArr;
};","The code defines a function named 'filter' that takes two arguments: an array 'arr' and a function 'fn'. It first checks if 'arr' is an array and 'fn' is a function, throwing an error if either condition is not met. Then, it initializes an empty array 'filteredArr' to store the filtered elements. It loops through 'arr' and checks if 'fn' returns a truthy value for each element. If it does, the element is added to 'filteredArr'. Finally, it returns 'filteredArr'. This implementation follows best practices for code organization and readability, and it uses modern JavaScript syntax."
4,"/**
 * @param {number[]} nums
 * @param {Function} fn
 * @param {number} init
 * @return {number}
 */
var reduce = function(nums, fn, init) {
  let val = init;
  for (let i = 0; i < nums.length; i++) {
    val = fn(val, nums[i]);
  }
  return val;
};",Easy,"function reduce(nums, fn, init) {
      if (!Array.isArray(nums)) {
        throw new Error('nums must be an array');
      }
      if (typeof fn !== 'function') {
        throw new Error('fn must be a function');
      }
      if (nums.length === 0) {
        return init;
      }
      let result = init;
      for (let i = 0; i < nums.length; i++) {
        result = fn(result, nums[i]);
      }
      return result;
    }","The code defines a function 'reduce' that takes an array 'nums', a function 'fn', and an initial value 'init' as arguments. It first checks if 'nums' is an array and 'fn' is a function, throwing errors if not. If 'nums' is empty, it returns 'init'. Then, it iterates over 'nums', applying 'fn' to 'result' and each element of 'nums' in sequence, and finally returns 'result'. This implementation follows best practices for code organization and readability, and uses modern JavaScript syntax."
5,"/**
 * @param {Function} fn
 * @param {number} t
 * @return {Function}
 */
var timeLimit = function(fn, t) {
  return async function(...args) {
    return new Promise((delayresolve, reject) => {
      const timeoutId = setTimeout(() => {
        clearTimeout(timeoutId);
        reject(""Time Limit Exceeded"");
      }, t);

      fn(...args)
        .then((result) => {
          clearTimeout(timeoutId);
          delayresolve(result);
        })
        .catch((error) => {
          clearTimeout(timeoutId);
          reject(error);
        });
    });
  };
};

/**
 * const limited = timeLimit((t) => new Promise(res => setTimeout(res, t)), 100);
 * limited(150).catch(console.log) // ""Time Limit Exceeded"" at t=100ms
 */",Medium,"var timeLimit = function(fn, t) {
    return async function(...args) {
        let timeoutId = setTimeout(() => {
            throw new Error('Time Limit Exceeded');
        }, t);
        try {
            const result = await fn(...args);
            return result;
        } catch (error) {
            throw error;
        } finally {
            clearTimeout(timeoutId);
        }
    };
};","This code defines a function called 'timeLimit' that takes another function 'fn' and a time limit 't' in milliseconds. It returns a new function that wraps the input function 'fn' with a timeout. If 'fn' completes within the time limit, the new function resolves with the result. If the execution of 'fn' exceeds the time limit, the new function rejects with the string 'Time Limit Exceeded'. The timeout is cleared in the finally block to ensure it is removed regardless of whether the function completes successfully or times out."
6,"const TimeLimitedCache = function() {
    this.cache = new Map();  // Using Map so we don't need a size variable
};

TimeLimitedCache.prototype.set = function(key, value, duration) {
    let found = this.cache.has(key);
    if (found) clearTimeout(this.cache.get(key).ref);  // Cancel previous timeout
    this.cache.set(key, {
        value,  // Equivalent to `value: value`
        ref: setTimeout(() => this.cache.delete(key), duration)
    });
    return found;
};

TimeLimitedCache.prototype.get = function(key) {
    return this.cache.has(key) ? this.cache.get(key).value : -1;
};

TimeLimitedCache.prototype.count = function() {
    return this.cache.size;
};",Medium,"var TimeLimitedCache = function() {
  this.cache = {};
  this.expirations = {};
};

TimeLimitedCache.prototype.set = function(key, value, duration) {
  if (this.expirations[key] && this.expirations[key] > Date.now()) {
    return false;
  }
  this.cache[key] = value;
  this.expirations[key] = Date.now() + duration;
  return true;
};

TimeLimitedCache.prototype.get = function(key) {
  if (this.expirations[key] && this.expirations[key] > Date.now()) {
    return this.cache[key];
  }
  return -1;
};

TimeLimitedCache.prototype.count = function() {
  let count = 0;
  for (let key in this.expirations) {
    if (this.expirations[key] > Date.now()) {
      count++;
    }
  }
  return count;
};","The provided JavaScript code defines a TimeLimitedCache class with methods for setting, getting, and counting un-expired key-value pairs. It uses an object to store the cache and another object to track the expiration times of each key. The set method checks if a key is already un-expired before setting its value and expiration time. The get method returns the value of an un-expired key or -1 if the key has expired. The count method iterates through the expirations object to count the number of un-expired keys."
7,"var debounce = function(fn, t) {
    let id;
        return function (...args) {
                clearTimeout(id);
                id = setTimeout(() => fn(...args), t);
        }
};",Medium,"var debounce = function(fn, t) {
    let timeout = null;
    return function(...args) {
        if (timeout) {
            clearTimeout(timeout);
        }
        timeout = setTimeout(() => {
            fn(...args);
        }, t);
    }
};","This code defines a debounce function that takes a function 'fn' and a time 't' in milliseconds as arguments. It returns a new function that, when called, cancels any existing timeout and sets a new one with the provided time. If the returned function is called again before the timeout expires, the timeout is cleared and a new one is set, effectively debouncing the function execution. This implementation uses modern JavaScript syntax and follows best practices for code organization and readability."
8,"var promiseAll = async function(functions) {
    return new Promise((resolve, reject) => {
        let results = [];
        functions.forEach(fn => {
            fn()
            .then(val => results.push(val))
            .catch(reason => reject(reason));
        });
        resolve(results);
    })};

var promiseAll = async function(functions) {
    return new Promise((resolve,reject)=>{
        if(functions.length === 0) {
            resolve([]);
            return;
        }
        const arr=new Array(functions.length);
        arr.fill(null);
        let count=0
        functions.forEach(async(fn,i)=>{
            try{
                arr[i]=await fn()
                count++
            
                if(count===functions.length){
                    resolve(arr);
                }
            }
            catch(e){
                reject(e);
            }
        
        });
    });
};",Medium,"var promiseAll = function(functions) {
  return new Promise((resolve, reject) => {
    const results = [];
    let count = 0;
    for (let i = 0; i < functions.length; i++) {
      functions[i]().then((result) => {
        results[i] = result;
        count++;
        if (count === functions.length) {
          resolve(results);
        }
      }).catch((error) => {
        reject(error);
      });
    }
  });
};","This code defines a function called 'promiseAll' that takes an array of asynchronous functions as input. It initializes a new Promise and sets up a loop to execute each function in the array in parallel. Each function's promise is handled with 'then' and 'catch' methods. When all functions have resolved, the Promise resolves with an array of results. If any function rejects, the Promise rejects with the first encountered error."
9,"class EventEmitter {
  constructor() {
    this.events = new Map();
  }

  subscribe(event, cb) {
    if (!this.events.has(event)) {
      this.events.set(event, []);
    }

    const listeners = this.events.get(event);
    listeners.push(cb);

    return {
      unsubscribe: () => {
        const index = listeners.indexOf(cb);
        if (index !== -1) {
          listeners.splice(index, 1);
        }
      }
    };
  }

  emit(event, args = []) {
    if (!this.events.has(event)) {
      return [];
    }

    const listeners = this.events.get(event);
    const results = [];

    for (const listener of listeners) {
      results.push(listener(...args));
    }

    return results;
  }
}",Medium,"var promiseAll = function(functions) {
  return new Promise((resolve, reject) => {
    const results = [];
    let count = 0;
    for (let i = 0; i < functions.length; i++) {
      functions[i]().then((result) => {
        results[i] = result;
        count++;
        if (count === functions.length) {
          resolve(results);
        }
      }).catch((error) => {
        reject(error);
      });
    }
  });
};","This code defines a function called 'promiseAll' that takes an array of asynchronous functions as input. It initializes a new Promise and sets up a loop to execute each function in the array in parallel. Each function's promise is handled with 'then' and 'catch' methods. When all functions have resolved, the Promise resolves with an array of results. If any function rejects, the Promise rejects with the first encountered error."
