,gt_code,level,refactor_code,rationale
0,"var createHelloWorld = function() { 
    return function() {
        return ""Hello World"";
    }
}",Easy,"/**
 * @return {Function} 
 */
var createHelloWorld = function() {
     
    return function() {
         return 'Hello World';
    }
};

/**
 * const f = createHelloWorld();
 * f(); // ""Hello World""
 */","The function createHelloWorld is a factory function that returns a new function. The returned function always returns the string 'Hello World'. Using modern JavaScript syntax, we can omit the parameter list in the returned function, as it does not take any parameters. This approach ensures that the returned function, when invoked, will always return the same string value, adhering to the problem description."
1,"var createCounter = function(init) {
  let presentCount = init;

  function increment() {
    return ++presentCount;
  }

  function decrement() {
      return --presentCount;
  }

  function reset() {
      return (presentCount = init);
  }

  return { increment, decrement, reset };
};",Easy,"/**
 * @param {integer} init
 * @return { increment: Function, decrement: Function, reset: Function }
 */
var createCounter = function(init) {
  let currentValue = init;

  const increment = () => {
    currentValue += 1;
    return currentValue;
  };

  const decrement = () => {
    if (currentValue > init) {
      currentValue -= 1;
    } else {
      currentValue = init;
    }
    return currentValue;
  };

  const reset = () => {
    currentValue = init;
    return currentValue;
  };

  return {
    increment, decrement, reset
  };
};","The function createCounter accepts an initial integer init and returns an object with three functions: increment, decrement, and reset. A let variable currentValue is declared and initialized to the init value. The increment function increments the currentValue by 1 and returns it. The decrement function checks if the currentValue is greater than the init value before decrementing it; if not, it resets the currentValue to the init value. The reset function simply resets the currentValue to the init value. The returned object contains the increment, decrement, and reset functions as properties."
2,"var map = function(arr, fn) {
    const transformedArr = [];
    arr.forEach((element, index) => {
      transformedArr[index] = fn(element, index);
    });
    return transformedArr;
  };",Easy,"/**
 * @param {number[]} arr
 * @param {Function} fn
 * @return {number[]}
 */
var map = function(arr, fn) {
    if (!Array.isArray(arr)) {
        throw new Error('Input arr must be an array');
    }
    if (typeof fn !== 'function') {
        throw new Error('Input fn must be a function');
    }

    const length = arr.length;
    const result = new Array(length);

    for (let i = 0; i < length; i++) {
        result[i] = fn(arr[i], i);
    }

    return result;
};
","The function takes an array `arr` and a function `fn` as input and returns a new array with a transformation applied to each element. The function first checks if `arr` is an array and if `fn` is a function using `Array.isArray` and `typeof` respectively. If either check fails, an error is thrown.

A new array `result` of the same length as `arr` is created. Then, a for loop is used to iterate over each index `i` of `arr`, applying the `fn` function to each element and its index, storing the result in the `result` array.

The function follows modern JavaScript syntax (ES6+) by using arrow function syntax, `const` for variable declaration, and `let` for loop iteration.

Error handling is implemented by checking the input types, and best practices for code organization and readability are followed by using clear variable names, comments, and consistent indentation."
3,"var filter = function(arr, fn) {
  const result = [];
  for (let i = 0; i < arr.length; i++) {
    if (fn(arr[i], i)) {
      result.push(arr[i]);
    }
  }
  return result;
};",Easy,"/**
 * @param {number[]} arr
 * @param {Function} fn
 * @return {number[]}
 */
var filter = function(arr, fn) {
    if (!Array.isArray(arr)) {
        throw new Error('arr must be an array');
    }
    if (typeof fn !== 'function') {
        throw new Error('fn must be a function');
    }

    const filteredArr = [];
    for (let i = 0; i < arr.length; i++) {
        if (fn(arr[i], i)) {
            filteredArr.push(arr[i]);
        }        
    }

    return filteredArr;
};","The function takes an array arr and a filtering function fn as input. It first checks if arr is an array and if fn is a function, throwing errors if these conditions are not met.
Then, it initializes an empty array filteredArr to store the filtered elements.
It loops through each element in arr, and if the expression fn(arr[i], i) evaluates to a truthy value, it pushes the element to filteredArr.
Finally, it returns the filteredArr."
4,"/**
 * @param {number[]} nums
 * @param {Function} fn
 * @param {number} init
 * @return {number}
 */
var reduce = function(nums, fn, init) {
  let val = init;
  for (let i = 0; i < nums.length; i++) {
    val = fn(val, nums[i]);
  }
  return val;
};",Easy,"/**
 * @param {number[]} nums
 * @param {Function} fn
 * @param {number} init
 * @return {number}
 */
var reduce = function(nums, fn, init) {
  if (!Array.isArray(nums)) {
    throw new Error('nums must be an array');
  }

  if (typeof fn !== 'function') {
    throw new Error('fn must be a function');
  }

  let val = init;

  for (const num of nums) {
    if (typeof num !== 'number') {
      throw new Error('All elements in nums must be numbers');
    }
    val = fn(val, num);
  }

  return val;
};","The code defines a function `reduce` that takes an array `nums`, a reducer function `fn`, and an initial value `init`. It first checks if `nums` is an array and if `fn` is a function, throwing errors if either condition is not met.

Then, it initializes a variable `val` to the initial value. It iterates over each element in `nums`, checking if each element is a number. If not, it throws an error.

After that, it applies the reducer function `fn` to `val` and the current number, updating `val` with the result.

Finally, it returns the value of `val` after processing all elements in `nums`."
5,"/**
 * @param {Function} fn
 * @param {number} t
 * @return {Function}
 */
var timeLimit = function(fn, t) {
  return async function(...args) {
    return new Promise((delayresolve, reject) => {
      const timeoutId = setTimeout(() => {
        clearTimeout(timeoutId);
        reject(""Time Limit Exceeded"");
      }, t);

      fn(...args)
        .then((result) => {
          clearTimeout(timeoutId);
          delayresolve(result);
        })
        .catch((error) => {
          clearTimeout(timeoutId);
          reject(error);
        });
    });
  };
};

/**
 * const limited = timeLimit((t) => new Promise(res => setTimeout(res, t)), 100);
 * limited(150).catch(console.log) // ""Time Limit Exceeded"" at t=100ms
 */",Medium,"/**
 * @param {Function} fn
 * @param {number} t
 * @return {Function}
 */
var timeLimit = function(fn, t) {
  return async function(...args) {
    return new Promise((resolve, reject) => {
      const timeoutId = setTimeout(() => {
        reject('Time Limit Exceeded');
      }, t);

      fn(...args).then(result => {
        clearTimeout(timeoutId);
        resolve(result);
      }).catch(error => {
        clearTimeout(timeoutId);
        reject(error);
      });
    });
  }
};
","The timeLimit function takes an asynchronous function fn and a time limit t in milliseconds, and returns a new time-limited version of the input function. The time-limited function uses Promise to handle the asynchronous operation and setTimeout to set a timer for the time limit. If the fn completes within the time limit, the timer is cleared and the result is resolved. If the execution of the fn exceeds the time limit, the timer is not cleared and the promise is rejected with the string 'Time Limit Exceeded'. This approach ensures that the time-limited function follows the rules specified in the problem description and handles errors appropriately."
6,"const TimeLimitedCache = function() {
    this.cache = new Map();  // Using Map so we don't need a size variable
};

TimeLimitedCache.prototype.set = function(key, value, duration) {
    let found = this.cache.has(key);
    if (found) clearTimeout(this.cache.get(key).ref);  // Cancel previous timeout
    this.cache.set(key, {
        value,  // Equivalent to `value: value`
        ref: setTimeout(() => this.cache.delete(key), duration)
    });
    return found;
};

TimeLimitedCache.prototype.get = function(key) {
    return this.cache.has(key) ? this.cache.get(key).value : -1;
};

TimeLimitedCache.prototype.count = function() {
    return this.cache.size;
};",Medium,"var TimeLimitedCache = function() {
  this._cache = new Map();
};

TimeLimitedCache.prototype.set = function(key, value, duration) {
  if (typeof key !== 'number' || typeof value !== 'number' || typeof duration !== 'number') {
    throw new Error('key, value, and duration must be numbers');
  } 

  const now = Date.now();
  this._cache.set(key, {value, expiration: now + duration});
  return this._cache.has(key);
};

TimeLimitedCache.prototype.get = function(key) {
  const cacheEntry = this._cache.get(key);
  if (!cacheEntry) return -1;
  if (cacheEntry.expiration < Date.now()) {
    this._cache.delete(key);
    return -1;
  } 
  return cacheEntry.value;
};

TimeLimitedCache.prototype.count = function() {
  return Array.from(this._cache.values()).filter(entry => entry.expiration >= Date.now()).length;
};
","A Map is used to store the key-value pairs, with each value being an object containing both the value and the expiration time. The set method checks if the key already exists in the cache and updates the value and expiration time accordingly. If the key does not exist, it is added to the cache. The get method retrieves the value associated with the key if it has not expired, and -1 otherwise. The count method returns the number of unexpired keys by filtering the values in the Map based on the expiration time."
7,"var debounce = function(fn, t) {
    let id;
        return function (...args) {
                clearTimeout(id);
                id = setTimeout(() => fn(...args), t);
        }
};",Medium,"let timeout;

/**
 * @param {Function} fn
 * @param {number} t milliseconds
 * @return {Function}
 */
var debounce = function(fn, t) {
  return function(...args) {
    clearTimeout(timeout);
    timeout = setTimeout(() => fn(...args), t);
  };
};","The function debounce takes in two arguments, a function fn and a time t in milliseconds. It returns a new function that, when invoked, clears any existing timeouts and sets a new one to execute the original function after the specified delay. This ensures that the original function is only executed once every t milliseconds, even if it is called multiple times within that window. The use of modern JavaScript syntax, such as the rest parameter syntax (...args), makes the code concise and easy to read. Error handling is not explicitly required in this case, but the use of clearTimeout ensures that any existing timeouts are properly cleaned up before setting a new one, preventing potential memory leaks."
8,"var promiseAll = async function(functions) {
    return new Promise((resolve, reject) => {
        let results = [];
        functions.forEach(fn => {
            fn()
            .then(val => results.push(val))
            .catch(reason => reject(reason));
        });
        resolve(results);
    })};

var promiseAll = async function(functions) {
    return new Promise((resolve,reject)=>{
        if(functions.length === 0) {
            resolve([]);
            return;
        }
        const arr=new Array(functions.length);
        arr.fill(null);
        let count=0
        functions.forEach(async(fn,i)=>{
            try{
                arr[i]=await fn()
                count++
            
                if(count===functions.length){
                    resolve(arr);
                }
            }
            catch(e){
                reject(e);
            }
        
        });
    });
};",Medium,"var promiseAll = async function(functions) {
  const results = [];
  const promises = functions.map(async function(func) {
    results.push(await func());
  });
  try {
    await Promise.all(promises);
  } catch (error) {
    throw error;
  } 
  return results;
};","The function `promiseAll` takes an array of asynchronous functions `functions` and returns a new promise. It initializes an empty array `results` to store the resolved values of the promises. It then creates a new array of promises `promises` by mapping over `functions` and invoking each function asynchronously, awaiting its result and pushing it to `results`. The function then wraps `promises` in a `try-catch` block to handle any errors that may occur during the execution of the promises. If an error occurs, it throws the error to be handled by the caller. If no errors occur, it returns the `results` array containing the resolved values of the promises in the same order as they were in the `functions` array."
9,"class EventEmitter {
  constructor() {
    this.events = new Map();
  }

  subscribe(event, cb) {
    if (!this.events.has(event)) {
      this.events.set(event, []);
    }

    const listeners = this.events.get(event);
    listeners.push(cb);

    return {
      unsubscribe: () => {
        const index = listeners.indexOf(cb);
        if (index !== -1) {
          listeners.splice(index, 1);
        }
      }
    };
  }

  emit(event, args = []) {
    if (!this.events.has(event)) {
      return [];
    }

    const listeners = this.events.get(event);
    const results = [];

    for (const listener of listeners) {
      results.push(listener(...args));
    }

    return results;
  }
}",Medium,"class EventEmitter {
    #callbacks = {};

    /**
     * @param {string} eventName
     * @param {Function} callback
     * @return {Object}
     */
    subscribe(eventName, callback) {
        if (!this.#callbacks[eventName]) {
            this.#callbacks[eventName] = [];
        }

        this.#callbacks[eventName].push(callback);

        return {
            unsubscribe: () => {
                this.#callbacks[eventName] = this.#callbacks[eventName].filter(cb => cb !== callback);
            }
        };
    }

    /**
     * @param {string} eventName
     * @param {Array} args
     * @return {Array}
     */
    emit(eventName, args = []) {
        if (!this.#callbacks[eventName]) {
            return [];
        }

        const results = [];

        for (const callback of this.#callbacks[eventName]) {
            results.push(callback(...args));
        }

        return results;
    }
}","The EventEmitter class uses a #callbacks map to store the subscribed callbacks for each event name. When subscribing to an event, the callback is pushed to the corresponding event's array in the map. The subscribe method returns an object with an unsubscribe method that removes the callback from the map. When emitting an event, the class iterates through the callbacks for the event, calling each one with the provided arguments and collecting the results in an array. If there are no callbacks for the event, an empty array is returned."
