,gt_code,level,refactor_code,rationale
0,"var createHelloWorld = function() { 
    return function() {
        return ""Hello World"";
    }
}",Easy,const createHelloWorld = () => { return () => 'Hello World'; };,I used arrow function syntax to define createHelloWorld function which returns another arrow function that directly returns 'Hello World'. This approach is concise and easy to understand. Error handling is not needed as there are no parameters or complex logic involved. The code is organized and follows best practices for readability by using modern ES6+ syntax.
1,"var createCounter = function(init) {
  let presentCount = init;

  function increment() {
    return ++presentCount;
  }

  function decrement() {
      return --presentCount;
  }

  function reset() {
      return (presentCount = init);
  }

  return { increment, decrement, reset };
};",Easy,"const createCounter = (init) => {
    let count = init;
    return {
        increment: () => {
            return ++count;
        },
        decrement: () => {
            return --count;
        },
        reset: () => {
            count = init;
            return count;
        }
    };
};","I have used an arrow function to define the createCounter function. Inside the function, I have initialized a count variable with the initial value passed as an argument. The function returns an object with three methods: increment, decrement, and reset. Each method updates the count variable accordingly and returns the updated value. I have used ES6 syntax like arrow functions, let, and object shorthand notation for better readability and code organization. Error handling is not explicitly required in the given problem description, so I have not included it in the code."
2,"var map = function(arr, fn) {
    const transformedArr = [];
    arr.forEach((element, index) => {
      transformedArr[index] = fn(element, index);
    });
    return transformedArr;
  };",Easy,"const map = (arr, fn) => { if (!Array.isArray(arr) || typeof fn !== 'function') { throw new Error('Invalid input'); } const result = []; for (let i = 0; i < arr.length; i++) { result.push(fn(arr[i], i)); } return result; };","I have defined a arrow function 'map' that takes an array 'arr' and a function 'fn' as parameters. I have added error handling to check if the input is valid. Then, I have initialized an empty array 'result' to store the transformed elements. Using a for loop, I iterate over each element of the input array 'arr' and apply the function 'fn' to each element along with its index 'i'. The transformed element is then pushed into the 'result' array. Finally, the 'result' array is returned. This approach ensures that the transformation is applied to each element of the input array without using the built-in Array.map method."
3,"var filter = function(arr, fn) {
  const result = [];
  for (let i = 0; i < arr.length; i++) {
    if (fn(arr[i], i)) {
      result.push(arr[i]);
    }
  }
  return result;
};",Easy,"const filter = (arr, fn) => {     if (!Array.isArray(arr) || typeof fn !== 'function') {         throw new Error('Invalid input. Please provide a valid array and function.');     }     const filteredArr = [];     for (let i = 0; i < arr.length; i++) {         if (fn(arr[i], i)) {             filteredArr.push(arr[i]);         }     }     return filteredArr; };","I have created a arrow function 'filter' that takes an array 'arr' and a function 'fn' as arguments. I have added error handling to check if the input is valid. Then, I iterate over the array using a for loop and apply the function 'fn' to each element along with its index. If the result is truthy, I push the element to the 'filteredArr'. Finally, I return the 'filteredArr'. This approach follows modern JavaScript syntax (ES6+), implements error handling, and maintains code readability and organization."
4,"/**
 * @param {number[]} nums
 * @param {Function} fn
 * @param {number} init
 * @return {number}
 */
var reduce = function(nums, fn, init) {
  let val = init;
  for (let i = 0; i < nums.length; i++) {
    val = fn(val, nums[i]);
  }
  return val;
};",Easy,"const reduce = (nums, fn, init) => { if (nums.length === 0) { return init; } let result = init; for (let num of nums) { result = fn(result, num); } return result; };","I have defined a arrow function 'reduce' that takes in the array 'nums', the reducer function 'fn', and the initial value 'init'. I have added a check to return 'init' if the length of 'nums' is 0. Then, I iterate over each element in 'nums' using a for...of loop and update the 'result' by applying 'fn' on the current element and the 'result'. Finally, I return the 'result' after all elements have been processed. This approach follows the requirements and uses modern ES6+ syntax for better readability and organization."
5,"/**
 * @param {Function} fn
 * @param {number} t
 * @return {Function}
 */
var timeLimit = function(fn, t) {
  return async function(...args) {
    return new Promise((delayresolve, reject) => {
      const timeoutId = setTimeout(() => {
        clearTimeout(timeoutId);
        reject(""Time Limit Exceeded"");
      }, t);

      fn(...args)
        .then((result) => {
          clearTimeout(timeoutId);
          delayresolve(result);
        })
        .catch((error) => {
          clearTimeout(timeoutId);
          reject(error);
        });
    });
  };
};

/**
 * const limited = timeLimit((t) => new Promise(res => setTimeout(res, t)), 100);
 * limited(150).catch(console.log) // ""Time Limit Exceeded"" at t=100ms
 */",Medium,"const timeLimit = (fn, t) => { return async (...args) => { return new Promise((resolve, reject) => { const timeout = setTimeout(() => { reject('Time Limit Exceeded'); }, t); fn(...args).then((result) => { clearTimeout(timeout); resolve(result); }).catch((error) => { clearTimeout(timeout); reject(error); }); }); }; };","I have defined a higher-order function timeLimit that takes fn (asynchronous function) and t (time limit) as arguments and returns a new asynchronous function. Within the new function, I create a Promise that wraps the execution of fn. I set a timeout using setTimeout to reject the Promise if the execution exceeds the time limit. If fn resolves before the timeout, I clear the timeout and resolve with the result. If fn rejects, I also clear the timeout and reject with the error. This approach ensures that the time limit is enforced and appropriate error handling is implemented."
6,"const TimeLimitedCache = function() {
    this.cache = new Map();  // Using Map so we don't need a size variable
};

TimeLimitedCache.prototype.set = function(key, value, duration) {
    let found = this.cache.has(key);
    if (found) clearTimeout(this.cache.get(key).ref);  // Cancel previous timeout
    this.cache.set(key, {
        value,  // Equivalent to `value: value`
        ref: setTimeout(() => this.cache.delete(key), duration)
    });
    return found;
};

TimeLimitedCache.prototype.get = function(key) {
    return this.cache.has(key) ? this.cache.get(key).value : -1;
};

TimeLimitedCache.prototype.count = function() {
    return this.cache.size;
};",Medium,"class TimeLimitedCache { constructor() { this.cache = new Map(); } set(key, value, duration) { if (this.cache.has(key)) { clearTimeout(this.cache.get(key).timeout); } const timeout = setTimeout(() => { this.cache.delete(key); }, duration); this.cache.set(key, { value, timeout }); return this.cache.has(key); } get(key) { if (!this.cache.has(key)) { return -1; } return this.cache.get(key).value; } count() { return this.cache.size; } }","I implemented a TimeLimitedCache class using a Map to store key-value pairs along with their expiration timeouts. In the set method, I handle the case where the key already exists by clearing the previous timeout if present. I then set a new timeout for the key-value pair. In the get method, I check if the key exists and return the associated value if it's unexpired. The count method simply returns the size of the cache. I used ES6 class syntax for better code organization and readability."
7,"var debounce = function(fn, t) {
    let id;
        return function (...args) {
                clearTimeout(id);
                id = setTimeout(() => fn(...args), t);
        }
};",Medium,"const debounce = (fn, t) => { let timeout; return function(...args) { clearTimeout(timeout); timeout = setTimeout(() => { fn(...args); }, t); }; };","I have implemented a debounce function using arrow function syntax and the setTimeout method. The debounce function takes in a function 'fn' and a time 't' in milliseconds. It returns a new function that will execute the original function after a delay of 't' milliseconds. If the new function is called again within the 't' milliseconds window, the previous timeout is cleared and a new timeout is set. This approach ensures that the original function is only executed once after the specified delay. I have used clearTimeout to handle the case where the function is called multiple times within the debounce window. The code is concise, follows modern JavaScript syntax, and is organized for readability."
8,"var promiseAll = async function(functions) {
    return new Promise((resolve, reject) => {
        let results = [];
        functions.forEach(fn => {
            fn()
            .then(val => results.push(val))
            .catch(reason => reject(reason));
        });
        resolve(results);
    })};

var promiseAll = async function(functions) {
    return new Promise((resolve,reject)=>{
        if(functions.length === 0) {
            resolve([]);
            return;
        }
        const arr=new Array(functions.length);
        arr.fill(null);
        let count=0
        functions.forEach(async(fn,i)=>{
            try{
                arr[i]=await fn()
                count++
            
                if(count===functions.length){
                    resolve(arr);
                }
            }
            catch(e){
                reject(e);
            }
        
        });
    });
};",Medium,"const promiseAll = (functions) => { return new Promise((resolve, reject) => { let results = []; let completed = 0; functions.forEach((func, index) => { func().then((result) => { results[index] = result; completed++; if (completed === functions.length) { resolve(results); } }).catch((error) => { reject(error); }); }); }); };","I have implemented a promiseAll function that takes an array of functions as input and returns a new Promise. Inside the function, I iterate over each function in the array using forEach and execute them asynchronously. I keep track of the results and the number of completed functions. If all functions are completed successfully, I resolve the promise with the results array. If any function is rejected, I immediately reject the promise with the error. This approach ensures that all promises are executed in parallel and the promise resolves or rejects based on the completion status of all functions."
9,"class EventEmitter {
  constructor() {
    this.events = new Map();
  }

  subscribe(event, cb) {
    if (!this.events.has(event)) {
      this.events.set(event, []);
    }

    const listeners = this.events.get(event);
    listeners.push(cb);

    return {
      unsubscribe: () => {
        const index = listeners.indexOf(cb);
        if (index !== -1) {
          listeners.splice(index, 1);
        }
      }
    };
  }

  emit(event, args = []) {
    if (!this.events.has(event)) {
      return [];
    }

    const listeners = this.events.get(event);
    const results = [];

    for (const listener of listeners) {
      results.push(listener(...args));
    }

    return results;
  }
}",Medium,"class EventEmitter {
    constructor() {
        this.events = new Map();
    }
    
    subscribe(eventName, callback) {
        if (!this.events.has(eventName)) {
            this.events.set(eventName, []);
        }
        const eventCallbacks = this.events.get(eventName);
        eventCallbacks.push(callback);
        
        return {
            unsubscribe: () => {
                const index = eventCallbacks.indexOf(callback);
                if (index !== -1) {
                    eventCallbacks.splice(index, 1);
                }
            }
        };
    }
    
    emit(eventName, args = []) {
        const eventCallbacks = this.events.get(eventName) || [];
        return eventCallbacks.map(callback => callback(...args));
    }
}","I have implemented the EventEmitter class using a Map to store event names as keys and an array of callback functions as values. When subscribing to an event, the callback function is added to the corresponding array. The unsubscribe method removes the callback from the array. When emitting an event, the stored callback functions are called with the provided arguments, and the results are returned in an array. This approach ensures that multiple listeners for the same event are supported, and callbacks are called in the order they were subscribed. Error handling is included to check if there are no callbacks subscribed to an event."
