,gt_code,level,refactor_code,rationale
0,"var createHelloWorld = function() { 
    return function() {
        return ""Hello World"";
    }
}",Easy,"/**
 * @return {Function}
 */
const createHelloWorld = () => {
    return () => ""Hello World"";
};

/**
 * Example usage:
 * const f = createHelloWorld();
 * console.log(f()); // ""Hello World""
 */","The function 'createHelloWorld' is defined using an arrow function, adhering to ES6+ syntax for cleaner and more concise code. It returns another arrow function that simply returns the string ""Hello World"". This inner function ignores any arguments passed to it, fulfilling the requirement to always return ""Hello World"". No error handling is implemented because the function's behavior is straightforward and does not involve any operations that typically require error handling, such as I/O operations or data processing. The code is organized for readability, with clear example usage commented for demonstration."
1,"var createCounter = function(init) {
  let presentCount = init;

  function increment() {
    return ++presentCount;
  }

  function decrement() {
      return --presentCount;
  }

  function reset() {
      return (presentCount = init);
  }

  return { increment, decrement, reset };
};",Easy,"/**
 * @param {integer} init
 * @return { increment: Function, decrement: Function, reset: Function }
 */
var createCounter = function(init) {
    if (typeof init !== 'number' || isNaN(init)) {
        throw new Error('Initial value must be a valid number.');
    }

    let currentValue = init;

    return {
        increment: () => ++currentValue,
        decrement: () => --currentValue,
        reset: () => currentValue = init
    };
};","The function createCounter is designed to encapsulate a counter functionality with an initial value specified by the parameter 'init'. It validates the input to ensure it's a number, enhancing robustness. The function uses a closure to maintain the state of 'currentValue', which is modified by the returned methods. Each method (increment, decrement, reset) directly manipulates 'currentValue' and returns the updated value. This approach ensures that the counter's state is private and only modifiable through the provided methods. The use of arrow functions provides a concise syntax and binds 'this' lexically, which is suitable here since there's no use of 'this' in the functions."
2,"var map = function(arr, fn) {
    const transformedArr = [];
    arr.forEach((element, index) => {
      transformedArr[index] = fn(element, index);
    });
    return transformedArr;
  };",Easy,"/**
 * @param {number[]} arr
 * @param {Function} fn
 * @return {number[]}
 */
var map = function(arr, fn) {
    if (!Array.isArray(arr)) throw new TypeError('First argument must be an array.');
    if (typeof fn !== 'function') throw new TypeError('Second argument must be a function.');

    const result = [];
    for (let i = 0; i < arr.length; i++) {
        result.push(fn(arr[i], i));
    }
    return result;
};","The provided JavaScript function 'map' takes two parameters: an array 'arr' and a function 'fn'. It first checks if the inputs are of the correct types, throwing a TypeError if not. This ensures robust error handling. The function then initializes an empty array 'result'. It iterates over 'arr', applying the function 'fn' to each element along with its index, and stores the result in 'result'. This approach avoids using Array.map to meet the requirement, and uses ES6 features like 'let' for block-scoped variables and arrow functions for clarity and conciseness."
3,"var filter = function(arr, fn) {
  const result = [];
  for (let i = 0; i < arr.length; i++) {
    if (fn(arr[i], i)) {
      result.push(arr[i]);
    }
  }
  return result;
};",Easy,"/**
 * @param {number[]} arr
 * @param {Function} fn
 * @return {number[]}
 */
var filter = function(arr, fn) {
    if (!Array.isArray(arr)) throw new TypeError('Expected an array');
    if (typeof fn !== 'function') throw new TypeError('Expected a function');

    const filteredArr = [];
    for (let i = 0; i < arr.length; i++) {
        if (fn(arr[i], i)) {
            filteredArr.push(arr[i]);
        }
    }
    return filteredArr;
};","The provided JavaScript function 'filter' takes an array 'arr' and a function 'fn' as parameters. It first checks if 'arr' is indeed an array and if 'fn' is a function, throwing a TypeError if either condition fails. This ensures the function operates with correct input types. The function then initializes an empty array 'filteredArr' to store elements that pass the 'fn' test. It iterates over 'arr', applying 'fn' to each element and its index. If 'fn' returns a truthy value, the element is added to 'filteredArr'. This approach avoids using Array.filter to meet the requirement of not using built-in methods, and uses ES6 features like 'let' for block-scoped variable declaration."
4,"/**
 * @param {number[]} nums
 * @param {Function} fn
 * @param {number} init
 * @return {number}
 */
var reduce = function(nums, fn, init) {
  let val = init;
  for (let i = 0; i < nums.length; i++) {
    val = fn(val, nums[i]);
  }
  return val;
};",Easy,"/**
 * @param {number[]} nums
 * @param {Function} fn
 * @param {number} init
 * @return {number}
 */
var reduce = function(nums, fn, init) {
    if (!Array.isArray(nums)) throw new TypeError('nums must be an array');
    if (typeof fn !== 'function') throw new TypeError('fn must be a function');
    if (typeof init !== 'number') throw new TypeError('init must be a number');

    let result = init;
    for (let i = 0; i < nums.length; i++) {
        result = fn(result, nums[i]);
    }
    return result;
};","The provided JavaScript function 'reduce' takes three parameters: an array 'nums', a reducer function 'fn', and an initial value 'init'. It iterates over the array, applying the reducer function to each element sequentially, starting with the initial value. The function uses a for loop to process each element of the array, updating the result with the return value of the reducer function. Error handling is implemented to ensure that the inputs are of the correct type, throwing a TypeError if they are not. This ensures robustness and prevents runtime errors due to incorrect input types. The use of ES6 syntax, such as 'let' for variable declaration, adheres to modern JavaScript standards."
5,"/**
 * @param {Function} fn
 * @param {number} t
 * @return {Function}
 */
var timeLimit = function(fn, t) {
  return async function(...args) {
    return new Promise((delayresolve, reject) => {
      const timeoutId = setTimeout(() => {
        clearTimeout(timeoutId);
        reject(""Time Limit Exceeded"");
      }, t);

      fn(...args)
        .then((result) => {
          clearTimeout(timeoutId);
          delayresolve(result);
        })
        .catch((error) => {
          clearTimeout(timeoutId);
          reject(error);
        });
    });
  };
};

/**
 * const limited = timeLimit((t) => new Promise(res => setTimeout(res, t)), 100);
 * limited(150).catch(console.log) // ""Time Limit Exceeded"" at t=100ms
 */",Medium,"/**
 * @param {Function} fn
 * @param {number} t
 * @return {Function}
 */
var timeLimit = function(fn, t) {
    return async function(...args) {
        let timeout;
        try {
            const timeoutPromise = new Promise((_, reject) => {
                timeout = setTimeout(() => reject('Time Limit Exceeded'), t);
            });
            const result = await Promise.race([fn(...args), timeoutPromise]);
            clearTimeout(timeout);
            return result;
        } catch (error) {
            clearTimeout(timeout);
            throw error;
        }
    };
};","The provided JavaScript code defines a function 'timeLimit' that takes another function 'fn' and a time limit 't' in milliseconds. It returns a new function that, when called, executes 'fn' with any provided arguments asynchronously. The function uses 'Promise.race' to race the function 'fn' against a timeout promise that rejects after 't' milliseconds. If 'fn' resolves before the timeout, the result is returned and the timeout is cleared. If the timeout occurs first, it rejects with 'Time Limit Exceeded', and the timeout is also cleared in the catch block to handle any errors cleanly. This ensures that the function either successfully returns the result of 'fn' or rejects if the time limit is exceeded, adhering to the problem requirements."
6,"const TimeLimitedCache = function() {
    this.cache = new Map();  // Using Map so we don't need a size variable
};

TimeLimitedCache.prototype.set = function(key, value, duration) {
    let found = this.cache.has(key);
    if (found) clearTimeout(this.cache.get(key).ref);  // Cancel previous timeout
    this.cache.set(key, {
        value,  // Equivalent to `value: value`
        ref: setTimeout(() => this.cache.delete(key), duration)
    });
    return found;
};

TimeLimitedCache.prototype.get = function(key) {
    return this.cache.has(key) ? this.cache.get(key).value : -1;
};

TimeLimitedCache.prototype.count = function() {
    return this.cache.size;
};",Medium,"class TimeLimitedCache {
    constructor() {
        this.cache = new Map();
    }

    set(key, value, duration) {
        if (!Number.isInteger(key) || !Number.isInteger(value) || !Number.isInteger(duration)) {
            throw new Error('Key, value, and duration must be integers');
        }
        const exists = this.cache.has(key) && Date.now() < this.cache.get(key).expiry;
        const expiry = Date.now() + duration;
        this.cache.set(key, { value, expiry });
        return exists;
    }

    get(key) {
        if (this.cache.has(key)) {
            const item = this.cache.get(key);
            if (Date.now() < item.expiry) {
                return item.value;
            }
        }
        return -1;
    }

    count() {
        let count = 0;
        this.cache.forEach((value, key) => {
            if (Date.now() < value.expiry) {
                count++;
            }
        });
        return count;
    }
}","The provided JavaScript code defines a class 'TimeLimitedCache' that manages key-value pairs with expiration times. The 'set' method updates or adds a key-value pair with a specified duration, returning true if the key already existed and was not expired. The 'get' method retrieves the value for a key if it hasn't expired, otherwise returns -1. The 'count' method counts the number of unexpired keys. Modern JavaScript features like 'class' syntax and 'Map' are used for better performance and readability. Error handling ensures that inputs are integers, preventing unexpected behavior."
7,"var debounce = function(fn, t) {
    let id;
        return function (...args) {
                clearTimeout(id);
                id = setTimeout(() => fn(...args), t);
        }
};",Medium,"/**
 * @param {Function} fn
 * @param {number} t milliseconds
 * @return {Function}
 */
var debounce = function(fn, t) {
    let timeoutId = null;
    return function(...args) {
        clearTimeout(timeoutId);
        timeoutId = setTimeout(() => {
            fn.apply(this, args);
        }, t);
    };
};","The provided JavaScript code defines a debounce function that delays the execution of a given function 'fn' by 't' milliseconds, and cancels previous calls if the function is invoked again within that time frame. A variable 'timeoutId' is used to keep track of the timeout. Each time the returned function is called, any existing timeout is cleared (using 'clearTimeout'), and a new timeout is set (using 'setTimeout'). This ensures that 'fn' is only called after 't' milliseconds have passed without any further calls. The use of 'apply' allows the function to be called with the correct context and arguments."
8,"var promiseAll = async function(functions) {
    return new Promise((resolve, reject) => {
        let results = [];
        functions.forEach(fn => {
            fn()
            .then(val => results.push(val))
            .catch(reason => reject(reason));
        });
        resolve(results);
    })};

var promiseAll = async function(functions) {
    return new Promise((resolve,reject)=>{
        if(functions.length === 0) {
            resolve([]);
            return;
        }
        const arr=new Array(functions.length);
        arr.fill(null);
        let count=0
        functions.forEach(async(fn,i)=>{
            try{
                arr[i]=await fn()
                count++
            
                if(count===functions.length){
                    resolve(arr);
                }
            }
            catch(e){
                reject(e);
            }
        
        });
    });
};",Medium,"/**
 * @param {Array<Function>} functions
 * @return {Promise<any>}
 */
var promiseAll = function(functions) {
    return new Promise((resolve, reject) => {
        let results = [];
        let completed = 0;
        if (functions.length === 0) {
            resolve(results);
        }
        functions.forEach((func, index) => {
            func()
                .then(result => {
                    results[index] = result;
                    completed++;
                    if (completed === functions.length) {
                        resolve(results);
                    }
                })
                .catch(error => {
                    reject(error);
                });
        });
    });
};","The provided JavaScript code defines a function 'promiseAll' that takes an array of asynchronous functions and returns a promise. This promise resolves with an array of results from the asynchronous functions if all functions resolve successfully, or it rejects with the reason of the first rejection. The implementation manually tracks the completion of each asynchronous function using a counter 'completed' and an array 'results' to store the results in the order of the original functions. Each function is called, and its result is placed in the correct position in the 'results' array based on its index. If a function rejects, the promise immediately rejects with the error. This approach ensures that the functions are executed in parallel and does not rely on 'Promise.all', fulfilling the task requirements."
9,"class EventEmitter {
  constructor() {
    this.events = new Map();
  }

  subscribe(event, cb) {
    if (!this.events.has(event)) {
      this.events.set(event, []);
    }

    const listeners = this.events.get(event);
    listeners.push(cb);

    return {
      unsubscribe: () => {
        const index = listeners.indexOf(cb);
        if (index !== -1) {
          listeners.splice(index, 1);
        }
      }
    };
  }

  emit(event, args = []) {
    if (!this.events.has(event)) {
      return [];
    }

    const listeners = this.events.get(event);
    const results = [];

    for (const listener of listeners) {
      results.push(listener(...args));
    }

    return results;
  }
}",Medium,"class EventEmitter {
    constructor() {
        this.events = {};
    }

    subscribe(eventName, callback) {
        if (!this.events[eventName]) {
            this.events[eventName] = [];
        }
        this.events[eventName].push(callback);

        return {
            unsubscribe: () => {
                const index = this.events[eventName].indexOf(callback);
                if (index > -1) {
                    this.events[eventName].splice(index, 1);
                }
            }
        };
    }

    emit(eventName, args = []) {
        if (!this.events[eventName]) {
            return [];
        }
        return this.events[eventName].map(callback => callback(...args));
    }
}","The EventEmitter class is designed to manage event subscriptions and emissions. It uses an object `events` to store arrays of callback functions keyed by event names. The `subscribe` method adds a callback to the appropriate event array and returns an object with an `unsubscribe` method, allowing removal of the callback. The `emit` method checks if the event has callbacks; if not, it returns an empty array. If there are callbacks, it maps over them, passing any provided arguments, and returns an array of results. This implementation uses ES6 features like arrow functions and the spread operator for clarity and conciseness."
