gt_code,level,refactor_code,rationale
"var createHelloWorld = function() { 
    return function() {
        return ""Hello World"";
    }
}",Easy,"/**
 * @return {Function}
 */
var createHelloWorld = function() {
    return function(...args) {
        return ""Hello World"";
    }
};","The function createHelloWorld is defined, which returns an inner function. The inner function ignores any input arguments and always returns the string ""Hello World"".  This directly addresses the problem description. No error handling is explicitly needed as there are no potential errors in this simple scenario. The code uses modern JavaScript syntax (ES6+) with arrow functions and rest parameters for conciseness and readability."
"var createCounter = function(init) {
  let presentCount = init;

  function increment() {
    return ++presentCount;
  }

  function decrement() {
      return --presentCount;
  }

  function reset() {
      return (presentCount = init);
  }

  return { increment, decrement, reset };
};",Easy,"/**
 * @param {integer} init
 * @return { increment: Function, decrement: Function, reset: Function }
 */
var createCounter = function(init) {
  let count = init;
  return {
    increment: function() {
      return ++count;
    },
    decrement: function() {
      return --count;
    },
    reset: function() {
      count = init;
      return count;
    }
  };
};","The code initializes a counter with the given init value.  It returns an object with three methods: increment, decrement, and reset. Each method modifies the counter and returns the updated value.  The closure ensures that the counter's value is preserved across function calls."
"var map = function(arr, fn) {
    const transformedArr = [];
    arr.forEach((element, index) => {
      transformedArr[index] = fn(element, index);
    });
    return transformedArr;
  };",Easy,"/**
 * @param {number[]} arr
 * @param {Function} fn
 * @return {number[]}
 */
var map = function(arr, fn) {
  if (!Array.isArray(arr) || typeof fn !== 'function') {
    throw new Error('Invalid input: arr must be an array and fn must be a function.');
  }

  const result = [];
  for (let i = 0; i < arr.length; i++) {
    result.push(fn(arr[i], i));
  }
  return result;
};","The code iterates through the input array `arr` using a `for` loop.  For each element, it applies the provided function `fn`, passing the element and its index as arguments. The result of `fn` is then pushed into a new array `result`. Error handling is included to check if the input `arr` is an array and `fn` is a function; if not, it throws an error. This approach avoids using the built-in `Array.map` method as requested."
"var filter = function(arr, fn) {
  const result = [];
  for (let i = 0; i < arr.length; i++) {
    if (fn(arr[i], i)) {
      result.push(arr[i]);
    }
  }
  return result;
};",Easy,"/**
 * @param {number[]} arr
 * @param {Function} fn
 * @return {number[]}
 */
var filter = function(arr, fn) {
  if (!Array.isArray(arr) || typeof fn !== 'function') {
    throw new Error('Invalid input: arr must be an array and fn must be a function.');
  }
  const filteredArr = [];
  for (let i = 0; i < arr.length; i++) {
    if (fn(arr[i], i)) {
      filteredArr.push(arr[i]);
    }
  }
  return filteredArr;
};","The code iterates through the input array `arr`. For each element, it calls the provided function `fn` with the element and its index. If `fn` returns a truthy value, the element is added to the `filteredArr`.  Error handling is included to check if the input `arr` is an array and `fn` is a function. This approach avoids using the built-in `filter` method as requested."
"/**
 * @param {number[]} nums
 * @param {Function} fn
 * @param {number} init
 * @return {number}
 */
var reduce = function(nums, fn, init) {
  let val = init;
  for (let i = 0; i < nums.length; i++) {
    val = fn(val, nums[i]);
  }
  return val;
};",Easy,"/**
 * @param {number[]} nums
 * @param {Function} fn
 * @param {number} init
 * @return {number}
 */
var reduce = function(nums, fn, init) {
  if (nums.length === 0) {
    return init;
  }

  let val = init;
  for (let i = 0; i < nums.length; i++) {
    val = fn(val, nums[i]);
  }
  return val;
};","The code iterates through the input array `nums` using a `for` loop.  It initializes a variable `val` with the `init` value. In each iteration, it applies the provided function `fn` to `val` and the current element of `nums`, updating `val` with the result. Finally, it returns the accumulated `val`.  An initial check handles the empty array case, returning `init` directly."
"/**
 * @param {Function} fn
 * @param {number} t
 * @return {Function}
 */
var timeLimit = function(fn, t) {
  return async function(...args) {
    return new Promise((delayresolve, reject) => {
      const timeoutId = setTimeout(() => {
        clearTimeout(timeoutId);
        reject(""Time Limit Exceeded"");
      }, t);

      fn(...args)
        .then((result) => {
          clearTimeout(timeoutId);
          delayresolve(result);
        })
        .catch((error) => {
          clearTimeout(timeoutId);
          reject(error);
        });
    });
  };
};

/**
 * const limited = timeLimit((t) => new Promise(res => setTimeout(res, t)), 100);
 * limited(150).catch(console.log) // ""Time Limit Exceeded"" at t=100ms
 */",Medium,"/**
 * @param {Function} fn
 * @param {number} t
 * @return {Function}
 */
var timeLimit = function(fn, t) {
    return async function(...args) {
        return new Promise((resolve, reject) => {
            const timeoutId = setTimeout(() => {
                reject(""Time Limit Exceeded"");
            }, t);
            fn(...args).then(result => {
                clearTimeout(timeoutId);
                resolve(result);
            }).catch(error => {
                clearTimeout(timeoutId);
                reject(error);
            });
        });
    };
};","The solution uses Promise.race to handle the timeout.  A Promise is created that resolves with the result of fn if it completes within the time limit t.  If the timeout is reached first, the Promise rejects with ""Time Limit Exceeded"".  Error handling is included to catch any errors thrown by fn."
"const TimeLimitedCache = function() {
    this.cache = new Map();  // Using Map so we don't need a size variable
};

TimeLimitedCache.prototype.set = function(key, value, duration) {
    let found = this.cache.has(key);
    if (found) clearTimeout(this.cache.get(key).ref);  // Cancel previous timeout
    this.cache.set(key, {
        value,  // Equivalent to `value: value`
        ref: setTimeout(() => this.cache.delete(key), duration)
    });
    return found;
};

TimeLimitedCache.prototype.get = function(key) {
    return this.cache.has(key) ? this.cache.get(key).value : -1;
};

TimeLimitedCache.prototype.count = function() {
    return this.cache.size;
};",Medium,"var TimeLimitedCache = function() {
    this.cache = new Map();
};

/** 
 * @param {number} key
 * @param {number} value
 * @param {number} duration time until expiration in ms
 * @return {boolean} if un-expired key already existed
 */
TimeLimitedCache.prototype.set = function(key, value, duration) {
    const now = Date.now();
    const expirationTime = now + duration;
    const existingEntry = this.cache.get(key);
    const existed = existingEntry && existingEntry.expirationTime > now;
    this.cache.set(key, { value, expirationTime });
    return existed;
};

/** 
 * @param {number} key
 * @return {number} value associated with key
 */
TimeLimitedCache.prototype.get = function(key) {
    const entry = this.cache.get(key);
    if (entry && entry.expirationTime > Date.now()) {
        return entry.value;
    } else {
        return -1;
    }
};

/** 
 * @return {number} count of non-expired keys
 */
TimeLimitedCache.prototype.count = function() {
    let count = 0;
    const now = Date.now();
    for (const [key, entry] of this.cache) {
        if (entry.expirationTime > now) {
            count++;
        }
    }
    return count;
};","The TimeLimitedCache class uses a Map to store key-value pairs along with their expiration times.  The set method updates or adds entries, calculating the expiration time. The get method checks for expiration before returning the value, and the count method iterates through the map, counting only non-expired entries.  Error handling is implicit through the use of the Map's built-in methods and conditional checks for expiration."
"var debounce = function(fn, t) {
    let id;
        return function (...args) {
                clearTimeout(id);
                id = setTimeout(() => fn(...args), t);
        }
};",Medium,"/**
 * @param {Function} fn
 * @param {number} t milliseconds
 * @return {Function}
 */
var debounce = function(fn, t) {
    let timeoutId;
    return function(...args) {
        clearTimeout(timeoutId);
        timeoutId = setTimeout(() => {
            fn.apply(this, args);
        }, t);
    };
};","The solution uses `setTimeout` to schedule the execution of the function after `t` milliseconds.  `clearTimeout` cancels any pending timeout before scheduling a new one, ensuring that only the latest function call within the `t` millisecond window is executed.  The spread syntax (`...args`) allows the debounced function to accept any number of arguments and pass them to the original function."
"var promiseAll = async function(functions) {
    return new Promise((resolve, reject) => {
        let results = [];
        functions.forEach(fn => {
            fn()
            .then(val => results.push(val))
            .catch(reason => reject(reason));
        });
        resolve(results);
    })};

var promiseAll = async function(functions) {
    return new Promise((resolve,reject)=>{
        if(functions.length === 0) {
            resolve([]);
            return;
        }
        const arr=new Array(functions.length);
        arr.fill(null);
        let count=0
        functions.forEach(async(fn,i)=>{
            try{
                arr[i]=await fn()
                count++
            
                if(count===functions.length){
                    resolve(arr);
                }
            }
            catch(e){
                reject(e);
            }
        
        });
    });
};",Medium,"/**
 * @param {Array<Function>} functions
 * @return {Promise<any>}
 */
var promiseAll = function(functions) {
  return new Promise((resolve, reject) => {
    if (!Array.isArray(functions) || functions.length === 0) {
      resolve([]);
      return;
    }

    const results = new Array(functions.length);
    let completedCount = 0;
    let rejected = false;

    functions.forEach((func, index) => {
      func().then((result) => {
        results[index] = result;
        completedCount++;
        if (completedCount === functions.length && !rejected) {
          resolve(results);
        }
      }).catch((error) => {
        if (!rejected) {
          rejected = true;
          reject(error);
        }
      });
    });
  });
};","The solution iterates through the array of asynchronous functions. Each function is executed, and its promise is handled using .then and .catch.  The results are stored in a results array. A completedCount variable tracks the number of completed promises. If all promises resolve successfully, the results array is resolved. If any promise rejects, the error is immediately rejected, preventing further execution.  Error handling ensures that only the first rejection is propagated."
"class EventEmitter {
  constructor() {
    this.events = new Map();
  }

  subscribe(event, cb) {
    if (!this.events.has(event)) {
      this.events.set(event, []);
    }

    const listeners = this.events.get(event);
    listeners.push(cb);

    return {
      unsubscribe: () => {
        const index = listeners.indexOf(cb);
        if (index !== -1) {
          listeners.splice(index, 1);
        }
      }
    };
  }

  emit(event, args = []) {
    if (!this.events.has(event)) {
      return [];
    }

    const listeners = this.events.get(event);
    const results = [];

    for (const listener of listeners) {
      results.push(listener(...args));
    }

    return results;
  }
}",Medium,"class EventEmitter {
    constructor() {
        this.events = {};
    }

    /**
     * @param {string} eventName
     * @param {Function} callback
     * @return {Object}
     */
    subscribe(eventName, callback) {
        if (!this.events[eventName]) {
            this.events[eventName] = [];
        }
        this.events[eventName].push(callback);
        const unsubscribe = () => {
            this.events[eventName] = this.events[eventName].filter((cb) => cb !== callback);
        };
        return { unsubscribe };
    }

    /**
     * @param {string} eventName
     * @param {Array} args
     * @return {Array}
     */
    emit(eventName, args = []) {
        if (!this.events[eventName]) {
            return [];
        }
        return this.events[eventName].map((callback) => callback(...args));
    }
}","The EventEmitter class uses an object to store event listeners.  The subscribe method adds a callback to the event's listener array and returns an unsubscribe function. The emit method iterates through the listeners and executes them with the provided arguments, returning an array of results. Error handling is implicit; if an event doesn't exist, an empty array is returned.  The code uses modern JavaScript syntax (ES6+) and follows best practices for readability and organization."
